battery_id,policy,life_median,life_lo,life_hi,life_iqr
1,3_6C-80PER_3_6C,2681.6166902051264,1681.5628808620604,5676.729914773832,1124.7010948771517
2,3_6C-80PER_3_6C,23958.39590223179,16045.138757937057,54115.1306033895,9046.090690929905
3,3_6C-80PER_3_6C,16964.004327749677,14043.253329708023,21841.543961179843,2678.8831844754386
4,80PER_3_6C,1249.5971679047852,1233.034219597292,1266.3437083465383,11.3971028116232
5,80PER_3_6C,13612.698929698143,10899.473711228844,18269.411356580247,2368.317760136317
6,80PER_3_6C,7598.791784894451,7048.12933048529,8296.384209289867,410.1432662924526
7,4_8C_80PER_4_8C,4693.738460696966,4258.572500883864,5217.337923673412,336.3023118549863
8,4_8C_80PER_4_8C,2254.9856046144373,2127.4678717806396,2405.9115225296414,94.7597136421191
9,4_8C_80PER_4_8C,2995.8495035685282,2729.689043394021,3288.441776784858,198.33799327339239
10,5C_67PER_4C_NEWSTRUCTURE,14462.175039242607,12212.386356144838,17596.26072547689,1895.0689650159638
11,5_3C_54PER_4C_NEWSTRUCTURE,10342.483715736604,9299.820229020981,11496.841930525654,759.9707877577184
12,5_6C_19PER_4_6C_NEWSTRUCTURE,7527.122549752201,7198.7058922024735,7937.213836274382,246.40633952003373
13,5_6C_36PER_4_3C_NEWSTRUCTURE,9087.947069335143,8558.277316227252,9716.642345327775,398.8599426876008
14,5_6C_19PER_4_6C_NEWSTRUCTURE,15532.133351180655,13407.364927763736,18343.712543551308,1624.1501132817812
15,5_6C_36PER_4_3C_NEWSTRUCTURE,6649.686779589811,6287.590955701978,7053.639559785207,262.8572268154239
16,3_7C_31PER_5_9C_NEWSTRUCTURE,1055.5332144371437,1050.3427351898422,1061.3655443830871,3.8678554457512746
17,4_8C_80PER_4_8C_NEWSTRUCTURE,19645.395738337444,17623.5166309458,22434.254950556977,1608.0537332290332
18,5C_67PER_4C_NEWSTRUCTURE,8648.840365500708,7944.556637292547,9454.448324767513,531.9944380078032
19,5_3C_54PER_4C_NEWSTRUCTURE,17885.710079891585,15752.884378390683,20900.054202277603,1726.8680973300688
20,4_8C_80PER_4_8C_NEWSTRUCTURE,10389.500166552134,9537.753705761526,11475.573757222894,639.3463556974784
21,5_6C_19PER_4_6C_NEWSTRUCTURE,5905.892879727284,5616.83019794253,6230.8161007838435,211.46017679913166
22,5_6C_36PER_4_3C_NEWSTRUCTURE,13256.98215152842,12297.395971897886,14510.477739893764,758.5175538603726
23,5_6C_19PER_4_6C_NEWSTRUCTURE,6077.277016255197,5682.251211010949,6518.363460209729,281.25030305237306
24,5_6C_36PER_4_3C_NEWSTRUCTURE,22314.06701906216,16170.306015503851,35299.77197388806,5871.38643004786
25,4_8C_80PER_4_8C_NEWSTRUCTURE,13075.611621973789,11382.679354364831,15265.471611296362,1362.623537450083
26,5_3C_54PER_4C_NEWSTRUCTURE,9438.238256773924,8829.697460470428,10155.80164235895,433.43037699175875
27,5_6C_19PER_4_6C_NEWSTRUCTURE,6138.989048503784,5965.79185973753,6340.598350183792,123.64752341167696
28,5_6C_36PER_4_3C_NEWSTRUCTURE,6093.4689495092625,5923.119601959063,6288.461725392709,125.06535761189116
29,5C_67PER_4C_NEWSTRUCTURE,8783.089967650485,8158.028698134656,9493.002910292915,426.0669871282007
30,3_7C_31PER_5_9C_NEWSTRUCTURE,1346.6733954338226,1339.3758577964707,1355.0951230426278,5.243417894997037
31,5C_67PER_4C_NEWSTRUCTURE,11463.387482044793,9989.829203794417,13465.552897220568,1167.4187686810183
32,5_3C_54PER_4C_NEWSTRUCTURE,12160.24713543974,10701.864217703242,14088.573051732228,1141.388930176534
33,5_6C_19PER_4_6C_NEWSTRUCTURE,9860.245110060492,8980.438971871465,11005.9546225801,678.0789657612731
34,5_6C_36PER_4_3C_NEWSTRUCTURE,7621.2460095356155,7049.847581954283,8295.25923309358,457.547837322888
35,3_7C_31PER_5_9C_NEWSTRUCTURE,965.3568047533713,956.3010055204472,974.6710128238359,6.011052849375005
36,5_3C_54PER_4C_NEWSTRUCTURE,9789.02892739897,8934.261850595783,10785.405897005496,655.4457113702629
37,5C_67PER_4C_NEWSTRUCTURE,7639.2514056809505,7223.015589412154,8102.448997132942,294.7080954624189
38,5_3C_54PER_4C_NEWSTRUCTURE,6222.3579031551535,5959.198385418043,6532.4392814273815,193.4745524278269
39,5_6C_19PER_4_6C_NEWSTRUCTURE,7320.616217727583,7021.956696808491,7646.863163667551,205.91553679997196
40,5_6C_36PER_4_3C_NEWSTRUCTURE,5790.020173509647,5532.055068316012,6073.6915322178775,183.312453882716
41,4_8C_80PER_4_8C_NEWSTRUCTURE,6298.532890067323,5751.87446704868,6899.310513863524,393.5618860666591
42,5C_67PER_4C_NEWSTRUCTURE,11153.633182316797,10497.050368132861,11957.868896333874,475.74353008103026
43,5_3C_54PER_4C_NEWSTRUCTURE,7831.512751119344,7220.133353311001,8543.41905553495,459.5946829013401
44,5_6C_19PER_4_6C_NEWSTRUCTURE,6977.442160236967,6465.126082423611,7610.645174144446,410.3945833589232
45,5_6C_36PER_4_3C_NEWSTRUCTURE,16084.776316470095,13686.974954264466,19626.237572371534,1985.4979811822632
46,4_8C_80PER_4_8C_NEWSTRUCTURE,15441.481770619761,13669.96220739068,17588.250647790006,1296.6529280282193
47,5C_67PER_4C_NEWSTRUCTURE,14380.843149420009,12872.66393034784,16392.95673578629,1093.2843737322382
48,5_3C_54PER_4C_NEWSTRUCTURE,16738.61824769839,14510.11946114673,20048.28294334816,1812.381012613405
49,4_8C_80PER_4_8C_NEWSTRUCTURE,16792.592308986645,15244.623200061413,18739.61127308479,1201.0886764529969
