battery_id,policy,C1,Q1,C2,initial_capacity,mean_chargetime,mean_IR,mean_Tavg,is_test,n_cycles,last_SOH,slope_SOH,life_linear,life_exp,life_power,life,IR_first,IR_last,IR_growth_pct,E_low,E_high
1,3_6C-80PER_3_6C,3.6,80.0,3.6,1.0706892,13.4086513554808,0.0168063184861228,31.9552510590903,0,200,0.9971576252006654,-8.118575230931176e-05,2635.167279216608,2839.7856616317763,322.41564245961,2737.476470424192,0.016742354,0.016747557,0.0310768724636855,288.0,0.0
2,3_6C-80PER_3_6C,3.6,80.0,3.6,1.0845895,13.3700453282399,0.0171016934490662,31.5492130949076,1,150,0.995243813442782,-8.126861974542397e-06,24260.81260322598,27379.963366014425,3.523630269753593e+116,25820.387984620203,0.017038831,0.017034298,-0.0266039377936256,288.0,0.0
3,3_6C-80PER_3_6C,3.6,80.0,3.6,1.0880535,13.3673534835601,0.016982372835034,31.7545236474274,0,200,0.995110203680242,-1.1607988703155131e-05,17056.430040552215,19161.99395566379,3.5066050792311583e+19,18109.211998108003,0.01686798,0.016826916,-0.2434434947160263,288.0,0.0
4,80PER_3_6C,3.6,80.0,3.6,1.024101,13.7314586052367,0.0174045610362538,32.1000492411474,0,200,0.96767101584707,-0.0001613170863475,1249.533715331808,1362.0062794407438,1417.473606066798,1305.769997386276,0.017099461,0.017244723,0.8495121571375855,288.0,0.0
5,80PER_3_6C,3.6,80.0,3.6,1.0322267,13.6804953856609,0.0173730390550459,32.1549737009787,1,150,0.996307250141854,-1.4648701147809443e-05,13609.905471761713,15203.33974008079,20757534404936.832,14406.62260592125,0.017235447,0.01730527,0.4051127887776864,288.0,0.0
6,80PER_3_6C,3.6,80.0,3.6,1.0364138,14.828321327044,0.0174475447896226,32.2245966251458,0,200,0.993831561293375,-2.6271911483390124e-05,7613.428180811376,8467.921545596693,935487.0035342932,8040.674863204034,0.017040562,0.017211417,1.002637119597353,288.0,0.0
7,4_8C_80PER_4_8C,4.8,80.0,4.8,1.0734261,12.9231478085242,0.0178100875916031,30.0982203551668,0,200,0.989658449706039,-4.281098898168234e-05,4690.327518488329,5188.306191438624,483056.3183948753,4939.316854963476,0.017436815,0.017317396,-0.6848670471069547,384.0,0.0
8,4_8C_80PER_4_8C,4.8,80.0,4.8,1.0721645,13.2409229226557,0.0178863115523614,29.5184064262147,0,200,0.981435539975442,-8.986232031152458e-05,2258.0832971271834,2464.189131906591,5380.061738035965,2361.136214516887,0.017749527,0.017172685,-3.249900687494382,384.0,0.0
9,4_8C_80PER_4_8C,4.8,80.0,4.8,1.0825263,13.1452157864793,0.0182922469518072,32.2842284021125,1,150,0.988996368956579,-6.733893827926154e-05,2989.76427605915,3298.053223050971,30159.697839613964,3143.90874955506,0.018069029,0.017330009,-4.089981813632597,384.0,0.0
10,5C_67PER_4C_NEWSTRUCTURE,5.0,67.0,4.0,1.0713712,10.1554366633597,0.0153010837331349,33.1015310495823,1,150,0.997163961472924,-1.3780221951322656e-05,14489.136422597585,16168.565010910255,5816638053.427537,15328.85071675392,0.015434842,0.015225732,-1.3547919700117448,335.0,52.0
11,5_3C_54PER_4C_NEWSTRUCTURE,5.3,54.0,4.0,1.0687399,10.1429989124294,0.0152176626817326,36.1809017963529,1,150,0.996765143698668,-1.9349802453797005e-05,10333.226893291108,11513.024258402846,2265367.132955921,10923.125575846976,0.015168298,0.015026807,-0.9328073591381216,286.2,104.0
12,5_6C_19PER_4_6C_NEWSTRUCTURE,5.6,19.0,4.6,1.0632137,10.1973217061611,0.0148276764976303,38.7783848292256,0,200,0.99419935051627,-2.657964058512129e-05,7534.562147631359,8373.182218822743,56944.94237627708,7953.872183227051,0.014914119,0.014548733,-2.449933516019287,106.39999999999999,280.59999999999997
13,5_6C_36PER_4_3C_NEWSTRUCTURE,5.6,36.0,4.3,1.0655342,10.1874366906044,0.0151619419335727,37.7013361874169,0,200,0.995155786646735,-2.200151758280843e-05,9101.790592954378,10119.913797627802,130066.10101899997,9610.852195291089,0.014948572,0.015035581,0.5820555970162167,201.6,189.2
